full_text,translated_text,sentimen
pernah gaada saldo tidak megang cash,once there was no balance not holding cash,Netral
karna kelamaan kadang gua langsung debit,because over time sometimes i immediately debit,Netral
takut dikira penipu ngedit nominal bjir,afraid of being mistaken for a con artist to edit nominal bjir,Negatif
keringat dingin,a cold sweat,Negatif
ge prnh pnik karena kbiasaan byar pke qris wktu psen makan byar pke qris jringannya ada samsek abis mkn kbelet beol gra degan kasirnya liatin untung inget bwa kartu atm akhirnya gesek sjak aku jadi jrang pke qris masih kbayang malunya,"ge prnh pnik because kbihan byar pke qris wktu psen eating byar pke qris, there is a samsek after you don't get the cashier with the cashier, i am fortunately in remembering the atm card, finally i am frowning.",Positif
kalau rame lebih malu,if crowded is more embarrassed,Positif
lebih deg2an pas bayar batre tinggal 1,more excited when paying the battery left 1,Positif
walaupun pake qris selalu sedia uang cashh kalau apa tidak ngerepotin,even though using qris is always available in cash if you don't bother,Positif
baru kmaren xxi mana nya ngasih popcorn kek pegang dulu,just kmaren xxi which one gives popcorn to hold first,Positif
kuota mana bawa cash gitu ngantri untung yang ngasih hospot maluu bngt,which quota is carrying cash so queuing for those who give hotspot embarrassed,Netral
hotspot dulu,hotspot first,Positif
pake android bayar pake qris uda lah jaringan jelek pake segala nge lag hpnya buka mbanking luama polll,"using android pay using qris already, the ugly network uses everything, the cellphone is open",Negatif
tiba hp gua ngelag,arrived my cellphone was lagging,Netral
kasir ampe ketawa orang bisa qris nota pake qris,cashier to laughing people can qris using qris,Netral
akhirnya terpaksa bayar pake cash ngepas terus bayar parkir recehan abis,"finally, i was forced to pay using cash, and continued to pay for the coins",Negatif
endingnya cash mba kelamaan jaringannya,the ending is cash mba over time the network,Netral
gua sampe minta hospot penjualnya,i asked for the seller's hospot,Netral
pernah,once,Netral
grabfood pembayaran qris drivernya datang scan pembayaran lupa carger matikan daya yap terpaksa drivernya nunggu 5 menit maaf pak,"grabfood qris payment driver comes payment scan forgotten the carger turn off the power forced the driver to wait 5 minutes sorry, sir",Negatif
akuuuu jugaaaaa,akuuu too,Netral
waktu mal,mall time,Netral
pernah,once,Netral
pesen kue iwa,order cake iwa,Netral
si dag dig dug dar,si dag dig dug dar,Netral
iyaa lagii,yes again,Netral
awokwok,awokwok,Netral
gugup sari,nervous sari,Netral
bgtt,bgtt,Netral
s ur day vin,s ur day vin,Netral
when satu gaada kuota yang satunya batre bayar pake qris,"when one is not a quota, the other battery pays using qris",Negatif
isin e teko saiki,isin e teko saiki,Netral
ukasah karna hpnya lemot,ukasah because the cellphone is slow,Negatif
pernah kasih tethering sama kasirnya,ever gave tethering with the cashier,Netral
pernah bayar qris batre hp sisa 3 degdegan pol,never paid qris battery hp left over 3 degdegan pol,Netral
takutnya disuruh cuci piring kaya sinetron,afraid of being told to wash the dishes like soap operas,Negatif
hp lengket,sticky cellphone,Netral
tidak punya kouta,no quota,Netral
ujung ujung di tetringin kasir,the tip of the cashier,Netral
mau qris abis kuota bjir mana minta hotspot sama nya,want to qris after the quota bjir where ask for the same hotspot,Netral
brimo lama bjir keluar buktinya,old brimo bjir came out the proof,Positif
pengen banting hp rasa,want to slam the cellphone taste,Netral
pernah sampe minta hotspot penjual dan kasih,never asked for a seller and love hotspot,Positif
selalu kubuka qrisnya lgsg scan,i always open the qris lgsg scan,Netral
qris rekomen ya appnya banget aplikasi bingung,"qris recommended the app, the application was very confused",Negatif
qris itu hp,qris is a cellphone,Netral
bangett sihh kalau membayar jaringan kdng kek taikk hahaha,"really, if you pay for the kdng network, hahaha",Positif
pernah minta tethering kasirnya bisa qris,ever asked the cashier tethering to be qris,Netral
pernah minta hotspot sama mas mixue gara lupa kuota abis,never asked for a hotspot with mas mixue because i forgot the quota run out,Netral
pernah sengaja keceplosan ck ah elah lemot sinyal nyadar belakang rame ngantri rasa menghilang,once deliberately slipped ck ah but slow signal to realize the back of the ride of the feeling of disappearing,Negatif
ketar ketir ngakk,ketar ktikak loud,Positif
sering kek broh tadi dirumah perasaan mau ae,often kek broh earlier at home feelings want ae,Netral
nifas,postpartum,Netral
aneh jelek pas mau sken doanh,weird ugly when i want to scan it,Negatif
haha enak sma penjualnyaa,haha good high school seller,Positif
percaya diri bilang tetring,confident say tethering,Positif
bkn jlk tiba2 debitnya bisa juliani,bkn jlk suddenly the debit can be juliani,Netral
gedeg gua,gedeg cave,Netral
hotspot,hotspot,Netral
oseng kuda lumping dah biasa semua,lumping horse stir -fry all ordinary,Negatif
ak minta hostpot jualan hhe,i asked for a hotspot selling hehe,Netral
paling sering shiballl,most often shiballl,Positif
kurang ajar wondr kadang kadang malu udah geter duluan,insolent wondr sometimes sometimes embarrassed already geter first,Positif
mana cuma ngandelin bsiiii ahhhh,where's only bselin bsiiii ahhhh,Netral
nama ng roti o,name ng bread o,Netral
minta hotspot penjualnya yaa,ask for the seller's hotspot,Netral
ga enak pliss takut kira penipu mah ngelag parah,"it's not good, pliss is afraid that fraudsters don't know badly",Negatif
bawa cash minimal 50k sama recehan ribuan parkir,bring a minimum cash of 50k with thousands of parking,Netral
ih bangt knp kalau bayar pake qris kelalu susah jaringan,"uh, why if you pay for using qris, it's too difficult",Negatif
prnh mau byr pke qris hp touchcreen eror dah panikuntung abang baik nya ngutang dulu,never want to pay using qris hp touchscreen error and have a good brother,Positif
setuju,agree,Netral
mana lagi panikk bangett jirrrr rasanyaa,where else is really panicked jirrrr it feels like,Positif
cash ngga sepeser,cash isn't a penny,Netral
waktu kuliah malas megang cash pake qris kayak gini,when i was lazy to hold cash using qris like this,Negatif
lagian jaringan suka ngerjain deh,"besides, the network likes to work on it",Netral
makanya w sllu prepare debit,"hence, w sllu prepare debit",Netral
digoyang2 hpnya,shaken the cellphone,Netral
wkwkwk waktu minta hospot abangnya,wkwkwk when asking for the host of his brother,Netral
pernah gini woy mana tiba koq hp ngelek aneh biasanya pernah woy malu uyyy,"i have ever been like this, how come the cellphone is strange",Negatif
sering terjadi user bca mobile nunggu sampe hijau,bca mobile users often wait for green,Negatif
mana sering lagii,which is often again,Netral
sering terjadi,often occur,Netral
lagi kek hp juga tiba lalod jir,"again, the cellphone that arrived slowly",Negatif
pernah kasir langsung nawarin kakanya wifi cepat selesai transaksinya,once the cashier immediately offered the kakanya wifi quickly finished the transaction,Positif
bayar pakai qris ingat engga kouta,pay using qris remember the quota,Netral
isss ak sering,isss ak often,Netral
liat diri sndiri serasa malu bngtt,"look at yourself, i feel embarrassed",Netral
kalau ditanyain lama jawab kakaknya cakep,if asked for a long time to answer his brother cute,Positif
lah pas byr pakai qris loding lama ternyata kuota abis minta hotspot mba,it was paid to use the old qris loading it turned out that the quota had been used up asking for a hotspot mba,Positif
kasir pliiis biasain bawa cash kartu jga2 klau susah sinyal qris tu rawan nyantol uangnya baliknya lamaaa,"pliiis cashier is usually carrying cash cards if it's difficult to signal qris, the money is prone",Negatif
tempat aa sering,aa place often,Netral
raya,raya,Netral
wifi ka sini,wifi ka here,Netral
paa,paa,Netral
busyet pernah mana itu antrian panjang woiii,busyet has ever been a long queue of woiii,Negatif
aduh maluu bangettt,"ouch, really embarrassed",Positif
malu ubun2,shame of crown2,Netral
anjing seremmmmm bgtttt,ceremmmmm dogs bgtttt,Netral
pernah sampe minta hotspot penjualnya,ever asked for the seller's hotspot,Netral
sumpah sering begini mana org emg jrg bawa cash,i swear often like this where do you bring cash,Netral
pertama kali minta hospot sama abang kasir tommorow gegara paket data habis bayar pake qris,"the first time i asked for a hotspot with the tomoro cashier brother, data package payment using qris",Positif
mana ngantri bed belakang,where is the back bed,Netral
prnahh mbangking d perbaharui dlu,once the banking was updated first,Positif
iya kadang cash kadang ada,yes sometimes cash sometimes there,Netral
pernah kejadian,ever happened,Netral
pernah malu gegara bawa cash mikir ngisi dana dulu bayar di kasirnya tidak cash sumpah disitu bingung mau ngisi dulu baru tf tidak alhasil kasirnya nawarin tf aku aku tf balik,"i was ashamed to bring cash thinking about filling in funds first paying at the cashier, not cash i swear there, confused about wanting to fill it first and then the tf is not as a result the cashier offers tf, i will turn back",Positif
waktu hpku dinonaktifkan 5 menit karna kepencet2 ditass mana dibikinin pesananyaa akwkwkkw,when my cellphone was deactivated 5 minutes because of the stuffy above where made the message akwkwkkw,Netral
reaallll,reaallll,Netral
hmmm gabolehin pake cash biasanya gaada kembaliannya pernah liat ngantri dibilang kalau cash uang karena dasarnya store mostly pake qris,"hmmm, i can use cash, usually the change has never been seen as queuing for cash because basically the store is mostly using qris",Positif
mbamas kasirnya gada mau niat hotspot kadang kesel bjir drpd lama ye kan ato wifi wifi,"ma'am, the cashier doesn't want the hotspot intentions, sometimes it's upset than for a long time or wifi wifi",Negatif
kadang batrenya habis hp mati,sometimes the battery runs out of the cell phone.,Netral
boleh ulang qr,may repeat qr,Netral
pernah diposisi rasanya pengen nolak keburu siap pesanannya,ever in position it feels like to refuse to be ready for order,Positif
pernah woe bingung,woe once confused,Negatif
pliss pernah lagii,pliss ever again,Netral
muka kasirnya kadang ngeledek anjir,the cashier's face sometimes teases anjir,Netral
lah pernah minta hotspot ma kasirnya gegara kuota,ever asked for a hotspot ma cashier quota,Netral
banget iniu,this is really,Positif
aku siapin dua2nya niatnya kalau pake qris jaringan g bagus masih bayar,i prepare the two intentions if using a good network qris still pay,Positif
langsung panik,immediately panicked,Netral
kadang ada paket jirt nya minta hospot hehehe,sometimes there is a jirt package asking for a hospot hehehe,Netral
paniknya minta ampunn,panicked asking for forgiveness,Netral
bntr masmba sinyal jelek,bntr masmba ugent signal,Netral
gua sering njir,i'm often njir,Netral
knpa suka tba,why do you like to arrive,Netral
malu pke,embarrassed pke,Netral
sering hotspot kasirnya njir,often the cashier hotspot is njir,Netral
kelakuan mu,your behavior,Netral
malu bet anj,shame bet anj,Netral
qris apk tidak tau,qris apk doesn't know,Netral
pas bayar aja kesialannya,just when you pay for the bad luck,Negatif
na benci poll malu,na hate poll shy,Negatif
inget warung madura,remember the madura shop,Netral
gua selalu masuk langsung buka fitur scan soalnya trauma bgni,i always enter directly open the scan feature because trauma bgni,Netral
alhamdulillah wd 23jt,alhamdulillah wd 23 million,Netral
deg2an bangettt sumpahh,deg2an really swear,Positif
bentar kakk rill malu bgttt,"wait a moment, the real is embarrassed",Positif
tips bayar qris persiapkan duluu hp sebelum jangan lu buka hp udh bayar,tips for paying qris prepare the cellphone before don't open your cellphone to pay,Netral
inii gueee tadii anjjj di indomarett tiba tiba sinyal jelek udah depan kasirr beforrnya gue scroll ig malu jujur,this is my anjir at indomaret suddenly a bad signal already in front of the kasirr bephorr i scrolled ig ashamed honestly,Negatif
pernah weeii sampe tetring sama kasirnya,once weeii until tetring with the cashier,Netral
kasir belike di hospot mbak,cashier bilek on the hotspot miss,Netral
selalu nyaa,always,Netral
lebih hapenya ngelag buka aplikasi lama,more cellphone is open to open the old application,Positif
minta hotspot kasirnya untung sepi,"ask for the cashier's hotspot, fortunately it's quiet",Netral
berry berry,berry berry,Netral
elu,you,Netral
mau bayar transfer eh ak lupa pin mbanking ku alhasil diblokir emg taeeekkkk,"i want to pay the transfer eh, i forgot my mbanking pin, as a result, it was blocked by emg taeeekkkk",Netral
sosoan bayar pake qris gaada kuota,sosoan pay using qris is no quota,Netral
pernahhh bzierrr maluuuu,never bzierrr shameuuu,Netral
lebih cepat miskinnya,faster poor,Negatif
kelebihan kekurangan qris mendunia kelebihan jajan lebih gampang kekurangan jajan lebih gampang,the advantages of the weakness of qris worldwide strengths of snacks is easier,Netral
kelebihansimpel kekurangansimpel,the advantages of simple simple shortcomings,Netral
wah bisa pakai kurisu,"wow, you can use kurisu",Positif
bangga ama teknologi indonesia udah mulai masuk pasar internasional,proud of indonesian technology has started to enter the international market,Positif
diem jajan jepang jajan dijepang diem,diem japanese snacks snacks in japan,Netral
jepang negara maju paling tertingal teknologi paymen administrasi elektronik,"japan, the most developed country is underdeveloped electronic administration payment technology",Positif
kak jadinya jepang penyebutan qris kirisu,"sis, japan is the mention of qris kirisu",Netral
jngnkn jepangdi china cashless semuanya bhkn tukang sayur pake cashless,let alone japan in china cashless all even vegetables use cashless,Netral
simpel amerika suka,simple america likes,Netral
serius bisa qris jpg,seriously can be qris jpg,Negatif
asyik jajan sana sini pulang lihat habis berapa ternyata juga jajan,"fun snacks here and there to go home, see how it turns out it turns out snacks are also",Positif
jadinya krisquriskurisu,the occurrence of the kurisu crisis,Netral
pake spaylatter jepang tidak bisa malem juga otw,using japanese spaylacher can't be otw at night,Netral
kalau pke uangindonesiabisakah,"if you use indonesian money, can it",Netral
so far kak pakai qris jepang,so far sis use japanese qris,Positif
masih pake cash kak soalnya disini parah ada gamau ambil cash,still using cash sis because here is bad there is no cash,Negatif
kelebihan qris gampang bayar kekurangan qris gampang bayar,the advantages of qris easily pay deficiencies qris easy to pay,Positif
enak enak,delicious,Positif
bangga qris daripada one for all,proud qris than one for all,Positif
makin berasa ngeluarin uang,the more feels spending money,Positif
berasa all u can eat aslinya saldo menjerit,feeling all u can eat eat the balance of screams,Netral
kelebihan mudah digunakan kekurangan lebih mudah digunakan,strengths easy to use deficiency is easier to use,Positif
anjai gausah exchange money lgg,anjai doesn't bother to exchange money,Netral
brrti perlu convert yen yak misalkan kalau pke dana tinggal scan doang,"means that you need to convert yen, for example, if you use funds, just scan",Netral
berarti 1 1 harusnya biaya tambahan konversi pasri kan,means 1 1 should be an additional cost of conversion for pasri right,Positif
sumpah pake qris nggk berasa ngeluarin duit,i swear to use qris not to spend money,Netral
nah loh us ketar ketir coba sama qris,"well, us, try it to try qris",Netral
siapapun bangett siapapun like video pertama k akun soalnya tugas kampus sumpahh udahh capekk bangett pliss yahh tugas kampus soalnya lopyuu udah bantuu,"anyone really likes the first video like the account because the campus assignment is oath, it's already tired",Positif
berarti idr otomatis dikonversi yen gimana,means automatic idr converted yen,Netral
fee tidak kak kalau pakee qris jepang kan kalau narik uang transaksi diluar negeri feenya tuhh tiap transaksii ada gak,"fee isn't, sis, if you use japan, if you pull out transactions abroad, every transaction is or not",Netral
pake kurs ini gimana,how about this exchange rate,Netral
step bay step wd 24jt,step bay step wd 24 million,Netral
pulang pulang makan nasi sama garem doang,come home eating rice with garem only,Netral
kelebihan qris jepang gampang jajan kekurangan qris jepang gampang jajan,the advantages of japanese qris easy snacks shortcomings of japanese qris easy snacks,Positif
sumimasen takoyaki ichi onigiri ichi qris desu,sumimasen takoyaki ichi onigiri ichi qris desu,Netral
sederhana amerika ketakutan,simple america fear,Netral
kirain bakal dikasi tau cara pakainya,i think you will know how to use it,Netral
scan scan g balik,scan scan back,Netral
amerika mana gitu,which america is that,Netral
gua kira xaviera,i think xaviera,Netral
niat hati ngambil cash hemat kalau jajan pakek qris,the intention of the heart to take cash efficient when snacks use qris,Netral
qris biaya tidak tiap transaksi,qris costs no every transaction,Netral
pake qris gini pas scan nominalnya langsung rupiah yen,use qris like this when the nominal scan is directly rupiah yen,Positif
kalau gini bayar perlu nyiapin uang yen nanti convert sendiri rupiah,"if you pay, you need to prepare the money later, the own rupiah is converted",Positif
bcaindonesiabisa pke di jepang,bca indonesia can use in japan,Netral
menghabiskan uang menjadi lebih praktis,spend money to be more practical,Positif
emg klu qr code punya pay pay bisa scan pakai qris,emg if the qr code has a pay pay can scan using qris,Netral
cari dulu yang pembayaran pake jpqr global bisa langsung bayar,find the first payment using jpqr global can directly pay,Positif
kalori berapa menyala nyala kira kira ginjal aman ya,"how much calories turn on, the kidney is safe",Positif
maaf nih kan pernah luar negeri nah itu beli makanan cari halal nanti standnya tulisan halalnya soalnya aku pikirin takut susah nyari makanan halal,"sorry, i have ever been overseas, i bought food looking for halal, the stand is the halal writing because i think i'm afraid of finding halal food",Negatif
qrissnya discan diapp kaya dana spay kah,the qriss is scanned by the spay -rich funds,Positif
pdhl dagingnya haram,the flesh is haram,Netral
nyebutnya kyurisu kurisu,call it kurisu kurisu,Netral
coba spill cara pembayarannya jangan makanannya doang di spill kan laper,"try spill the method of payment, don't do the food on the spill hungry",Netral
kekurangannya mempercepat kantong kering,the drawbacks are speeding up dry bags,Negatif
dana sama gopay kak,funds with gopay sis,Netral
pegang uang boros semenjak qris megang uang makin boros,hold wasteful money since qris holds money more wasteful,Positif
tibatiba duit gajian tidak kerasa,suddenly payment money is not feeling,Netral
pakenya mobile banking lokal,pakenya local mobile banking,Netral
qurisu,qurisu,Netral
perlu nukar yen dulu misal kita punya saldo dana langsung scan otomatis terkonversi,"need to exchange yen first, for example we have a direct fund balance scan automatically converted",Positif
buat jajan,make snacks,Netral
rawan jebol dompet,prone to break wallet,Netral
suka bingung ama jalan sana mrk kan bjsa bahasa inggris komunikasinya,"like to be confused with the road with the brand, you can speak english communication",Negatif
bacanya kirisu qyurisu,read kirisu qyurisu,Netral
kartu atm indonesia biasa kh non visa,indonesian atm card can non visa,Netral
alhamdulillah,alhamdulillah,Netral
pake qris pake kartu jenius enakk loh tinggal tap tap pin,"use qris using a delicious genius card, just tap the pin",Positif
di jp lgsg serentak tiap nyedian qris kalau gg,on jp lgg simultaneously every time i nyedian qris if gg,Netral
iya dijepang,yes in japan,Netral
waahh beneran qris bisa dipake jepang keren,waahh really qris can be used japanese cool,Positif
iyain boleh ngga,"yes, may i or not",Netral
tau tau saldo tidak mencukupi,you know the balance is insufficient,Netral
sebelum pake qris bisa beli semua,before using qris can buy all,Netral
merchat saja bisa,merchant can,Netral
bilangnya qris kyurisu,said qris kyurisu,Netral
lumayan beli merchandise jepang pake qris,pretty good to buy japanese merchandise using qris,Positif
repost ah di kira pernah jepang,repost ah in the thought of ever japan,Netral
uang hapis,hapis money,Netral
tungguin 2027 jepang,wait for 2027 japan,Netral
sebenarnya pake qris tinggal tuker mata uang aja,actually just use qris just exchange currencies,Netral
kalau bayarnya pake shopeepay seabank ya berarti nanti konversi dulu yen brp tinggal ngirim rupiahnya brp,if you pay it using a shopeepay seabank which means that later the conversion from yen brp is just sending the rupiah,Netral
kelebihan qris mudah gunakan kekurangan qris terlalu mudah digunakan,the advantages of qris easy to use qris deficiencies too easy to use,Positif
donki qris mba,donki qris mba,Netral
qris tunai kalau hemat biaya,qris cash if survant cost,Netral
bisa,can,Netral
jepang emng surga makanan enak,japanese emng heaven delicious food,Positif
yg penting ingat ingat saldo sisa berapa kadang boros kalau pake banyak godaannya,the important thing is to remember the remaining balance sometimes is wasteful if you use a lot of temptations,Positif
jepang nyebut qr code,japan calls qr code,Netral
scan scan scan tau tau kosong itu saldo,scan scan scan tau tau blank is a balance,Netral
qris cross border acquirer pjpindonesiaapa pjp jepang,qris cross border acquirer pjpindonesiapa pjp japan,Netral
masa bacanya beneran qris bukan kyuris,the time to read is really qris not kyuris,Positif
tah makan jalan disana,tah eat the road there,Netral
apapun dibeli,whatever is bought,Netral
coba spill cara bayar pake qris ka muncul berita sampe sekarang coba dimana2 bisa,try spill how to pay using qris doesn't appear news until now try everywhere,Netral
gada bedanya ama paypay kan,the difference is the paypay right,Positif
bnran bsa,bnran bsa,Netral
qurisee,qurisee,Netral
qrisnya punya tinggal nunggu mau diajak kesana,the qris has just waiting for you to be invited there,Netral
pgn tapi takut halal,pgn but afraid of halal,Negatif
cuma tgl 17 doang ampe seterus,only 17 only until,Netral
luar namanya qris,outside the name qris,Netral
rawan buat tidak punya cash,prone to not have cash,Netral
nyoba patreon ngga ad njir qris,try patreon not adjir qris,Netral
ngomongnya kak paham,"sis, sis understand",Netral
bisa semua kakapa aja,can all sis,Netral
gapernah nemu tu pembaran pake qrish,never found that payment using qris,Netral
jajan uang tidak,money is not money,Netral
akhirnya yaaa deh jalan2 jepang,"finally, yeah, the japanese walk",Netral
bahaya jajan,dangers of snacks,Netral
gk tuker mata uang dulu gimana caranya,"how do you talk about the currency, how do you",Netral
makin kalap jajan sih,the more crazy snacks,Negatif
jajanan malamnya pake qris tidak jepang,night snacks using qris are not japanese,Netral
gopay g,gopay g,Netral
contohin,example,Netral
yg pake kredit pulang2 nangis,those who use credit home crying,Negatif
ajarin cara pake qris,teach how to use qris,Netral
wis iso nggo kris,wis iso nggo kris,Netral
buatin video cobain pakai qris jepang kk,make videos try using japanese qris kk,Netral
ka aja dalam negri belanja qris berasa org berduit tnp no seri berasa bngt cpt missqueen pa ni jepang qris qris qris qris scan scan scan,the word steel domestic shopping qris feels a rich person without a series of taste numbers taste very cpt missqueen pa japanese qris qris qris qris qris scan scan scan,Positif
gak video pembayaran nih ka penasaran,no video payment is curious,Negatif
gamau pke qris maunya pake kurisuuu,i don't want to use kurisuuu,Netral
make kurisu,make kurisu,Netral
ngomong qris kurisu,talking about qris kurisu,Netral
makananya haram kontesknya di jepang nyari yang bersertifikasi halal susah makan kahmau kelaparan diindo jajanan tidak ngejamin prosesnya sesuai syariat,eat the haram contest in japan looking for halal -certified halal difficult to eat kahmau hungry diindo snacks do not guarantee the process is in accordance with the shari'a,Negatif
kurisu,kurisu,Netral
kuriso,kuriso,Netral
anggaran jajan tiba tiba membengkak tidak sadar,snack budget suddenly swelled unconsciously,Netral
kurissu,kurissu,Netral
dikoreksi kyu ris kak,corrected by kyu ris sis,Netral
qrisuu,qrisuu,Netral
qris cocok aku niatnya hemat megang duit eh makin boros,qris suits me to have an intention to save money eh more wasteful,Positif
yakin mbak dging sapiii,sure sister beef,Positif
tutorial boncos,boncos tutorial,Netral
kelebihan qris mudah gunakan kekurangan qris terlalu mudah digunakan,the advantages of qris easy to use qris deficiencies too easy to use,Positif
bisa muslim jepang jajan sebebas kalau buah ikan ok tpi kalau daging sma kue sebaiknya tanya sma kokinya dulu,can be japanese muslim snacks as free,Positif
tidak jawab genkides,no answer genkides,Netral
apapun bentuk penyebutan qris bener aja gua jepang bilangnya,"whatever form of mention of qris, i just said japanese",Netral
semakin mudah pembayaran semakin mudah boros,the easier it is to pay more waste,Positif
dulu bisa bukannya potongan gede,i used to be a big piece,Netral
bisa,can,Netral
wah bahaya bisa kalap,"wow, the danger can be crazy",Negatif
jepang kan byk orgindonesiawkwk,japan is a lot of indonesians wkwk,Netral
kiyuuurisss,kiyuuurisss,Netral
krismes ae nyebutnya merykrismes,christmas ae calls merry christmas,Netral
mantap pakek transaksi buatan indonesia go internasional,great use transactions made in indonesia go international,Positif
saldo 2jt 2ribu,2 thousand balances,Netral
belinya ngomongnya gimanaa kaka beli,"buy it, how do you buy it",Netral
kakk bawain,kakk bring,Netral
kayaaknya di jepang lebih nyaman pake nfc pada qris tinggal tap beres,"i think in japan it is more comfortable using nfc on the qris, just tap, right",Positif
brrti pake debit dariindonesiagitu yak perlu atm khusus jepang,means that using debit in indonesia does not need a special japanese atm,Positif
alamat jalan2 sono berasa sunday morning market ama festival kuliner jepang mampir semua lapak boncoss,the address of the sono jalan2 sunday morning market and japanese culinary festival stop by all boncoss stalls,Netral
daging itu,the meat,Netral
makin borosssss,the more borosssss,Positif
nerima uang walok jepang apa bt byr kk,receive money if japan is bt byr kk,Netral
gawat makin gampang ting ting sana sini,bad more easily ting here and there,Positif
biaya admin brp pake qris ln,admin fee is using qris ln,Netral
tanya serius berarti bayarnya rupiah gimana soalnya kan uangnya rupiah pls tell me guys awam,ask seriously means paying the rupiah what is the problem because the money is rupiah pls tell me guys lay,Negatif
qris dipake diindonesiaaja cepet duit lah qris dipake jepang gajian sedetik kali inii,"qris used in indonesiaaja quickly, qris used japan's second paid this time",Positif
hi mau nanya kita pake qris kepotong uang kurs idr yen punya valas indonesianya terimakasih,"hi want to ask we use qris to cut the money for idr yen's exchange rates, thank you",Netral
cara nyebutnya kurisu kirisu,how to call it kurisu kirisu,Netral
ak usagiqris,ak usagiqris,Netral
teknologi berbahaya qris bikin uang cepat terkuras,dangerous qris technology makes money drained quickly,Negatif
lebih boros jir ada,more wasteful,Positif
hanya berlaku kota besar,only a big city applies,Netral
lu sana ketemu sama le ho gak,you met with le ho or not,Netral
barcode kn nama dijepang bukan qris sistem sama kaya paypay nya,barcode kn names in japan instead of qris the same system like paypay,Netral
tutorial membuat miskin mah,tutorial to make poor mah,Negatif
yah tambah boncos nih duit,"well, add boncos, money",Netral
auto konfersi yen,auto conversion yen,Netral
beneran bisa kan qris jepang,can really be japanese qris,Netral
srius ka buat transport ga,srius ka for transport ga,Netral
kwkw berarti pake gopay mbanking,kwkw means using gopay mbanking,Netral
dikit scan tau tau bangkrut,a little scan know to be bankrupt,Negatif
ic card jepang lebih mudah ada biaya admin buat jajan naik kereta bus,japanese ic card is easier for admin fees for snacks on the bus,Netral
diindonesiaaja boros apalagi jepang,in indonesiaja is wasteful especially japan,Netral
semua bisa punya qris tidak semua bisa japan,all can have qris not all can walk,Netral
